dirty	-0.2928386623014842
worst	-0.24712975655511746
never	-0.22774559591186688
poor	-0.20173952280543517
rude	-0.19075689246796446
terrible	-0.18563589172796377
sheet	-0.16240011512929967
wouldnt	-0.15367988045580566
old	-0.1509484005291069
charged	-0.14078278983335027
better	-0.13952094900600917
picture	-0.13846011212129494
carpet	-0.13724983694735252
tiny	-0.12816273804551304
told	-0.12635286656567196
money	-0.12288346636124191
paid	-0.12181078394472056
cheap	-0.11951044613772394
disgusting	-0.11676697042033397
positive	-0.1163288655152706
uncomfortable	-0.11542162732158696
stay away	-0.11289308760710609
response	-0.11214800607233856
say	-0.11192396929463609
bad	-0.10833526930064893
website	-0.10776446890031184
unhelpful	-0.10659384824464847
horrible	-0.10073107744309028
awful	-0.09848169486642054
location good	-0.09845020641429476
outdated	-0.0981057034406445
ac	-0.09548228670541764
bug	-0.09541949682113253
unfriendly	-0.09490983590862681
door	-0.09424550096358311
property	-0.09422393539292681
wall	-0.09342690217328174
cramped	-0.0931344006061897
disappointing	-0.09230862406672019
dollar	-0.09221585982924733
stain	-0.09157977611078033
smelled	-0.09111061167248746
control	-0.09107839012892832
hot water	-0.09099233866783897
anyone	-0.09079410047616214
soho	-0.08976636230719924
dont	-0.08950185762163558
cleaner	-0.0880279658358134
checking	-0.08670212465468843
worst hotel	-0.0863312002864956
reservation	-0.0857284400649503
cockroach	-0.08565568657766662
construction	-0.08541548825768419
20	-0.08536756915685924
pay	-0.08528472015366509
needle say	-0.08459016164427607
night	-0.08446281722488942
extremely small	-0.08442359093012013
bath	-0.08425589553817037
window	-0.08317344483933949
small room	-0.08298071052804086
later	-0.08294594139906317
call	-0.0815466553271025
expensive	-0.081196433974139
sorry	-0.08084915909868676
hole	-0.07991118802232901
else	-0.07964862746485998
basically	-0.07916872362513355
noisy	-0.07886335534299392
look like	-0.07875387428083608
incredibly	-0.0786138901583326
filthy	-0.078480543728656
closet	-0.07826150421951031
sleep	-0.07807153252651869
running	-0.07769625424844338
bedbug	-0.07751785818957245
rat	-0.07641562103815148
even	-0.07618854070063012
heat	-0.07590383439510046
plus side	-0.07584507316703443
form	-0.07560451326244934
answer	-0.0754405895726074
deal	-0.07458035642204025
tiny room	-0.07402275792441348
facility	-0.07399417643643798
hair	-0.07331565183148096
coming	-0.07268609078605259
dated	-0.07240377386564802
credit	-0.07179739515783552
smell	-0.0715953169794662
elevator	-0.07148624355281857
room incredibly	-0.07132630503602246
look	-0.07111377820275878
customer	-0.07028234794330984
barely	-0.06977661025952754
needle	-0.06956195376649768
better hotel	-0.06946117043061116
way	-0.06924025111747595
looked	-0.06916484276522755
checking hotel	-0.06908284075828588
